1990 census,,,,,,,,,,,,,,,,,,,,,,
STATE,COUNTY,StateCounty,HHLDS,GINI,,----------------------INCOME BY QUINTILE LIMIT----------,,, ,COUNTY,,,---------------MEAN INCOME BY QUINTILE----------,,,95%,,,---------------PERCENT SHARE BY QUINTILE----------,,,95%
,,,,,FIRST,SECOND,THIRD,FOURTH,95 %ile,MEAN,FIRST,SECOND,THIRD,FOURTH,FIFTH,MEAN,FIRST,SECOND,THIRD,FOURTH,FIFTH,SHARE
Minnesota,CASS,27021,8265,0.423427755,8000,14800,22490,35000,58000,23386,4637,11265,18661,28239,54127,84002,0.04017,0.09629,0.15951,0.24138,0.46266,0.1795
Minnesota,CHIPPEWA,27023,5265,0.419678952,9735,17500,27000,39915,63730,27384,5733,13439,22121,32841,62785,106205,0.04259,0.09808,0.16144,0.23968,0.45821,0.19377
Minnesota,CHISAGO,27025,10526,0.370394298,14300,25800,36640,50310,75655,35229,8472,20230,31185,42998,73262,113042,0.04825,0.11483,0.17701,0.24406,0.41585,0.16041
Minnesota,CLAY,27027,17414,0.408379318,10190,20000,31685,46400,72280,30493,6099,14781,25813,38564,67211,101292,0.0401,0.09694,0.16928,0.2529,0.44077,0.16607
Minnesota,CLEARWATER,27029,3065,0.42008791,7200,14060,21900,33500,55700,22311,4566,10685,17773,27403,51127,78147,0.04123,0.09575,0.15927,0.24557,0.45817,0.17508
Minnesota,COOK,27031,1670,0.383518701,12000,19500,28000,38000,58150,27658,7370,15096,23175,32559,60088,99512,0.05329,0.10916,0.16759,0.23544,0.43451,0.1799
Minnesota,COTTONWOOD,27033,5066,0.388409888,10000,17600,26000,37465,58350,25568,5640,13911,21660,31729,54898,84676,0.04484,0.10873,0.16931,0.24801,0.42911,0.16547
Minnesota,CROW WING,27035,17255,0.417142749,9610,17800,27000,42000,66000,27799,6003,13469,22269,33758,63494,100538,0.04324,0.0969,0.16021,0.24286,0.45679,0.18082
Minnesota,DAKOTA,27037,98408,0.351676348,23000,36000,48545,65190,101500,48088,13860,29741,42186,55996,98658,159850,0.05767,0.12369,0.17545,0.23288,0.41031,0.1662
Minnesota,DODGE,27039,5556,0.393304291,13150,24000,34090,47200,71000,33743,7455,18581,28993,40259,73426,125345,0.04461,0.11008,0.17177,0.23852,0.43502,0.18565
Minnesota,DOUGLAS,27041,10984,0.404629977,9500,17345,27000,39340,63500,26584,5793,13369,22100,32647,59011,91468,0.04373,0.10056,0.16624,0.24558,0.44389,0.17201
Minnesota,FARIBAULT,27043,6805,0.405597039,10045,18345,27000,38710,63890,27386,6002,14389,22499,32540,61499,101338,0.04443,0.10502,0.16421,0.23749,0.44885,0.18491
Minnesota,FILLMORE,27045,7829,0.403988849,9935,17615,27000,38745,61550,26630,5800,13579,22236,32373,59162,94999,0.04418,0.10192,0.16689,0.24297,0.44403,0.17825
Minnesota,FREEBORN,27047,13069,0.385789335,11085,20065,29015,41490,65100,28699,6575,15782,24661,34618,61861,95606,0.04592,0.10997,0.17184,0.24122,0.43105,0.16655
Minnesota,GOODHUE,27049,15257,0.400153483,12425,23100,34820,49800,77000,34085,7275,17834,28948,41350,75016,120610,0.04295,0.10461,0.16981,0.24257,0.44005,0.17688
Minnesota,GRANT,27051,2428,0.415495036,8100,15900,24255,36665,60325,24248,4766,11992,19661,29607,55212,83068,0.0403,0.09881,0.162,0.24395,0.45493,0.17111
Minnesota,HENNEPIN,27053,419118,0.434450406,16090,29000,42500,61800,108600,45138,9028,22496,35535,51192,107437,195152,0.04003,0.09968,0.15745,0.22682,0.47603,0.21617
Minnesota,HOUSTON,27055,6855,0.404040212,11935,21000,31065,44690,71840,31206,6772,16463,25897,37324,69573,115597,0.04399,0.10545,0.16587,0.23906,0.44563,0.1851
Minnesota,HUBBARD,27057,5796,0.40281764,8580,15600,24600,35250,59000,24217,5392,12126,19993,29674,53901,79879,0.04458,0.10014,0.16511,0.24505,0.44513,0.16491
Minnesota,ISANTI,27059,8833,0.362473264,14795,25800,36300,50000,73980,34707,8268,20583,31138,42664,70880,105835,0.04789,0.11858,0.17939,0.24579,0.40835,0.15243
Minnesota,ITASCA,27061,15426,0.407586719,9600,17600,28000,42260,66000,27745,6161,13435,22564,34967,61601,93267,0.04442,0.09684,0.16265,0.25205,0.44404,0.16808
Minnesota,JACKSON,27063,4552,0.411207701,10390,18500,28200,40000,65115,28506,6268,14688,23233,34034,64308,113201,0.04416,0.10303,0.16297,0.23874,0.4511,0.19852
Minnesota,KANABEC,27065,4759,0.401053393,9290,17450,27500,40000,62500,26441,5610,13227,22370,33246,57751,86950,0.0427,0.10002,0.16916,0.25141,0.43671,0.16438
Minnesota,KANDIYOHI,27067,14327,0.420054385,10640,20000,30175,43000,71000,30536,6158,15128,25180,36362,69850,118731,0.04053,0.09906,0.16489,0.23811,0.45741,0.19437
Minnesota,KITTSON,27069,2278,0.407266253,9340,18200,28700,41800,68000,27629,5576,13635,23425,34127,61382,91612,0.04058,0.09868,0.16953,0.24698,0.44423,0.16575
Minnesota,KOOCHICHING,27071,6018,0.421456582,10205,18165,28990,46550,72100,30095,6741,14016,23381,36735,69603,106533,0.04501,0.09312,0.15535,0.24407,0.46245,0.17695
Minnesota,LAC QUI PARLE,27073,3511,0.415871121,9310,17900,25600,37190,60900,26077,5155,13343,21493,31139,59254,100368,0.04072,0.10221,0.16464,0.23853,0.4539,0.19221
Minnesota,LAKE,27075,4280,0.37592987,11100,19000,28200,40500,63000,27644,7080,15189,23381,33958,58613,86455,0.05147,0.10986,0.16911,0.24561,0.42394,0.15633
Minnesota,LAKE OF THE WOODS,27077,1574,0.368467773,11000,20000,29600,40000,60000,27511,6591,15440,24625,34486,56411,83012,0.04798,0.11224,0.17901,0.2507,0.41007,0.15086
Minnesota,LE SUEUR,27079,8451,0.390293857,12240,22800,33005,46000,70250,32014,6788,17592,27778,39184,68727,111155,0.04265,0.10987,0.1735,0.24473,0.42925,0.17356
Minnesota,LINCOLN,27081,2697,0.425051754,8315,15230,23160,36000,60410,24212,4882,11667,19222,28735,56555,92935,0.04233,0.09617,0.15845,0.23686,0.46618,0.19152
Minnesota,LYON,27083,9017,0.410754665,10515,19555,30060,42515,67120,29771,6366,15035,24583,35729,67140,110636,0.04291,0.10099,0.16513,0.23999,0.45098,0.18579
Minnesota,MC LEOD,27085,11793,0.392130279,13140,24100,35000,47325,72300,34041,7536,18806,29391,40591,73881,124746,0.04436,0.11048,0.17267,0.23846,0.43404,0.18321
Minnesota,MAHNOMEN,27087,1795,0.424067476,7455,12915,20680,33900,54800,21458,4188,9970,16773,26469,49890,71936,0.04157,0.09268,0.15592,0.24605,0.46378,0.16718
Minnesota,MARSHALL,27089,4222,0.39070945,9440,17500,26000,38200,60875,25355,5540,13275,21629,31704,54624,80384,0.04435,0.10464,0.1705,0.24992,0.43059,0.15841
Minnesota,MARTIN,27091,9157,0.392237646,10855,19800,29030,39700,63450,28298,6352,15261,24371,34102,61406,102116,0.04517,0.10782,0.1722,0.24094,0.43386,0.18037
Minnesota,MEEKER,27093,7655,0.405114908,10475,19860,29765,42650,66200,29190,6162,15040,24423,35374,64953,105572,0.04302,0.10296,0.1672,0.24217,0.44466,0.18068
Minnesota,MILLE LACS,27095,6894,0.406909218,9930,17500,28000,41000,67000,27449,6026,13492,22654,33935,61138,94744,0.04401,0.0983,0.16504,0.24723,0.44542,0.17256
Minnesota,MORRISON,27097,10384,0.429317386,9300,17100,27300,40000,62055,27294,5134,13009,22122,32959,63247,106628,0.03832,0.09525,0.16198,0.24133,0.46312,0.19519
Minnesota,MOWER,27099,14984,0.394411673,11040,19180,28410,41335,65360,28498,6863,14870,23622,34532,62606,98151,0.04824,0.10435,0.16576,0.24232,0.43933,0.17219
Minnesota,MURRAY,27101,3779,0.419557273,9345,18285,27000,38500,64695,27208,5121,13871,22711,31994,62342,106837,0.03856,0.10186,0.16679,0.23496,0.45783,0.19615
Minnesota,NICOLLET,27103,9548,0.382680406,14500,25445,36200,50000,79910,35573,8344,20004,30537,42739,76242,122051,0.04722,0.11243,0.17163,0.24021,0.4285,0.17149
Minnesota,NOBLES,27105,7758,0.391862073,10645,19000,28000,40715,67200,27847,6675,14661,23198,33775,60927,94316,0.04847,0.10524,0.16651,0.24244,0.43733,0.16925
Minnesota,NORMAN,27107,3104,0.404876929,8545,17000,25720,37540,60000,25222,5177,12769,21177,31186,55800,85677,0.04133,0.10122,0.16788,0.24722,0.44234,0.1698
Minnesota,OLMSTED,27109,40161,0.394015942,16800,30000,42295,59385,100200,42412,9520,23401,35835,50226,93079,154076,0.04492,0.11035,0.16898,0.23684,0.43891,0.18164
Minnesota,OTTER TAIL,27111,19563,0.415891124,9285,17330,26570,39765,63105,26740,5540,13140,21836,32492,60694,97066,0.04171,0.09825,0.16327,0.24295,0.45382,0.18145
Minnesota,PENNINGTON,27113,5167,0.427269341,8465,16940,26600,39805,62500,26407,4941,12302,21581,32430,60783,96286,0.03777,0.09314,0.16339,0.24552,0.46018,0.18224
Minnesota,PINE,27115,7580,0.406736529,9000,16410,26200,38800,60200,25730,5681,12550,21218,31934,57267,88564,0.0443,0.09753,0.1649,0.24819,0.44508,0.17208
Minnesota,PIPESTONE,27117,4078,0.424445283,8520,16560,25700,36840,59800,25454,4906,12391,20616,30789,58570,97871,0.0392,0.09729,0.16187,0.24175,0.45988,0.19212
Minnesota,POLK,27119,11970,0.405367998,9300,18060,28000,40970,63180,27182,5348,13874,22750,34010,59930,92036,0.04031,0.10198,0.16722,0.24998,0.44051,0.16913
Minnesota,POPE,27121,4153,0.402682251,9050,15700,23900,36000,59255,24368,5654,12386,19860,29336,54604,84093,0.04677,0.10162,0.16294,0.24068,0.44799,0.17248
Minnesota,RAMSEY,27123,190887,0.415620046,14310,26000,38580,56000,92160,39270,8106,20114,32074,46539,89519,150164,0.04131,0.10244,0.16334,0.23701,0.4559,0.19119
Minnesota,RED LAKE,27125,1732,0.399018707,8520,15650,23355,36115,54500,23289,4909,11681,19613,29363,50882,71775,0.04226,0.1003,0.16841,0.25213,0.4369,0.15408
Minnesota,REDWOOD,27127,6591,0.399730114,10035,18165,27100,39805,63185,27032,5808,14132,22746,32945,59527,93427,0.04346,0.10451,0.16821,0.24363,0.4402,0.17272
Minnesota,RENVILLE,27129,6788,0.400259374,10410,18900,27925,39240,63700,27635,6074,14583,23267,33110,61143,100686,0.0446,0.10547,0.16827,0.23946,0.4422,0.18205
Minnesota,RICE,27131,16384,0.396059574,13235,23415,35570,50000,77400,34665,7756,18363,29268,42105,75830,121537,0.04503,0.10592,0.16881,0.24286,0.43738,0.17525
Minnesota,ROCK,27133,3765,0.413702606,10830,19735,28960,41650,72170,29388,6364,14857,24198,34529,66991,113798,0.04375,0.10106,0.1646,0.23488,0.4557,0.19352
Minnesota,ROSEAU,27135,5432,0.360017177,11400,21400,30570,41520,61700,28378,6654,16533,25771,35912,57020,81414,0.04708,0.1165,0.18159,0.25305,0.40178,0.14342
Minnesota,ST LOUIS,27137,79109,0.415431908,9600,18480,30000,43925,68700,29064,5821,13897,24023,36315,65265,100133,0.04007,0.09563,0.16531,0.24989,0.44911,0.17226
Minnesota,SCOTT,27139,19382,0.351674999,21780,35000,46050,61000,95600,45487,12691,28356,40530,52774,93086,151635,0.0558,0.12468,0.1782,0.23204,0.40928,0.16668
Minnesota,SHERBURNE,27141,13672,0.349070242,18200,30000,41000,56100,85000,39628,10513,24533,35334,48332,79427,118536,0.05311,0.12381,0.17832,0.24392,0.40084,0.14955
Minnesota,SIBLEY,27143,5317,0.39299963,10945,20000,29470,41290,65805,29198,6592,15712,24831,34963,63895,101826,0.04569,0.10756,0.16999,0.23935,0.43741,0.17427
Minnesota,STEARNS,27145,39748,0.40867325,12760,22800,32620,46350,75500,33470,7299,17730,27579,39086,75654,131350,0.04383,0.10592,0.16477,0.23351,0.45197,0.19618
Minnesota,STEELE,27147,11307,0.370863044,14850,25300,35480,49755,75075,34876,8613,20132,30474,42285,72876,114806,0.04956,0.11543,0.17472,0.24244,0.41784,0.16456
Minnesota,STEVENS,27149,3815,0.401105072,9500,17190,27110,40650,60960,26376,5519,13225,21967,33707,57458,84322,0.04211,0.10026,0.16653,0.25553,0.43558,0.15981
Minnesota,SWIFT,27151,4381,0.395745299,7855,14780,23000,33000,52000,22267,5073,11139,18791,27857,48474,72552,0.04599,0.1,0.16871,0.2501,0.4352,0.16284
Minnesota,TODD,27153,8667,0.411638765,7690,14600,23320,35000,56000,22831,4561,10988,18809,28791,51006,73921,0.04035,0.09622,0.1647,0.2521,0.44663,0.16182
Minnesota,TRAVERSE,27155,1776,0.391068823,9880,16450,24600,35690,57000,24388,5490,13127,20494,29708,53122,82370,0.04623,0.10752,0.16785,0.24332,0.43508,0.16866
Minnesota,WABASHA,27157,7323,0.393896612,11990,22000,31860,45230,73105,31643,7051,17014,26985,38041,69122,111344,0.0449,0.1075,0.1705,0.24036,0.43674,0.17588
Minnesota,WADENA,27159,4984,0.42825933,7190,13135,22300,35040,56500,22409,4632,9926,17503,27896,52089,77244,0.04174,0.08855,0.15615,0.24886,0.4647,0.17228
Minnesota,WASECA,27161,6640,0.378404551,12160,22000,32000,45500,66455,30940,7329,16967,26949,38312,65143,99609,0.04753,0.10966,0.17418,0.24761,0.42103,0.16094
Minnesota,WASHINGTON,27163,49158,0.365199308,24000,38000,50100,67630,106200,50988,13981,31148,44076,58043,107693,184154,0.05484,0.12218,0.17289,0.22767,0.42242,0.18059
Minnesota,WATONWAN,27165,4483,0.393702048,10635,18785,27275,38955,63355,27365,6509,14553,22785,32804,60175,96783,0.04834,0.10628,0.16639,0.23956,0.43943,0.17669
Minnesota,WILKIN,27167,2821,0.39503059,9330,18500,28000,39700,62000,26899,5896,13829,23143,33274,58352,89491,0.04405,0.1028,0.17204,0.24735,0.43377,0.16631
Minnesota,WINONA,27169,16926,0.404476244,11000,20820,31155,45100,73300,31014,6651,15822,25851,37837,68911,107861,0.04307,0.10201,0.16667,0.24395,0.4443,0.17386
Minnesota,WRIGHT,27171,22945,0.363437752,16170,28000,39000,52125,80600,37645,9553,22421,33390,44890,77972,122965,0.05091,0.1191,0.17736,0.23845,0.41418,0.16329
Minnesota,YELLOW MEDICINE,27173,4621,0.415069063,9400,17340,26210,38440,60280,26329,5332,13243,21596,31873,59599,97933,0.04084,0.10057,0.16399,0.24203,0.45257,0.18592
Mississippi,ADAMS,28001,13299,0.503887113,6000,12500,22300,39475,68200,25020,3012,9162,17194,29954,65776,112308,0.02412,0.07324,0.13743,0.23943,0.52577,0.22443
Mississippi,ALCORN,28003,12577,0.43637257,6875,14000,23800,37600,57700,23329,4003,10219,18511,29917,53997,80192,0.03434,0.0876,0.15869,0.25647,0.4629,0.17187
Mississippi,AMITE,28005,4769,0.517863192,5280,11960,20100,31660,55375,22951,3018,8381,15617,25599,62139,122936,0.0263,0.07304,0.13609,0.22308,0.5415,0.26783
Mississippi,ATTALA,28007,6954,0.470704835,5520,11500,19000,30395,56360,20290,3132,8199,15243,24076,50798,83913,0.03103,0.08081,0.15023,0.23728,0.50065,0.20676
Mississippi,BENTON,28009,2875,0.413660656,6845,12165,19590,30700,51200,19653,4100,9416,15780,24527,44443,62503,0.04181,0.09582,0.16057,0.24957,0.45222,0.159
Mississippi,BOLIVAR,28011,13335,0.509526842,4870,10200,18620,33500,64000,21261,2691,7268,14081,25526,56737,92220,0.02541,0.06836,0.13245,0.2401,0.53368,0.21686
Mississippi,CALHOUN,28013,5680,0.422769502,7000,13850,22840,33000,53370,22001,4100,10292,18177,27406,50029,77424,0.03756,0.09353,0.16519,0.24906,0.45466,0.17591
Mississippi,CARROLL,28015,3340,0.464552211,6385,12670,22000,34095,63740,22737,3636,9545,16771,27318,56416,89726,0.03232,0.08393,0.14747,0.24021,0.49607,0.19724
Mississippi,CHICKASAW,28017,6538,0.452040464,7645,14535,23000,34630,52250,24259,4411,11239,18254,28765,58627,108367,0.03637,0.09265,0.15049,0.23715,0.48334,0.22335
Mississippi,CHOCTAW,28019,3171,0.472026059,6750,12395,21200,33045,53000,23034,3970,9719,17118,26518,57845,108778,0.03447,0.08439,0.14863,0.23025,0.50225,0.23612
Mississippi,CLAIBORNE,28021,3337,0.507569278,4525,9520,16720,31170,59225,19203,2154,6568,12971,22898,51426,73929,0.02243,0.0684,0.13509,0.23848,0.53559,0.19249
Mississippi,CLARKE,28023,6375,0.436767677,7180,15000,24400,38005,56455,24253,4086,11133,19107,30754,56183,88309,0.03369,0.09181,0.15757,0.25361,0.46332,0.18206
Mississippi,CLAY,28025,7356,0.509103893,6030,14065,23070,36400,65850,26248,3376,10068,18315,29314,70168,138894,0.02633,0.07667,0.13946,0.22322,0.53432,0.26441
Mississippi,COAHOMA,28027,10453,0.525800495,4750,9745,18400,33000,57000,21166,2387,6806,13845,25024,57765,101144,0.02262,0.06431,0.13082,0.23645,0.5458,0.23892
Mississippi,COPIAH,28029,9258,0.47583998,6200,12200,21355,35400,58000,22991,3558,9293,16619,27467,58019,97039,0.03105,0.08083,0.14455,0.23891,0.50466,0.21102
Mississippi,COVINGTON,28031,5780,0.456569372,6260,12600,21885,34165,57000,22424,3679,9485,17374,26864,54716,86516,0.03281,0.0846,0.15496,0.2396,0.48802,0.19291
Mississippi,DE SOTO,28033,23277,0.389609039,14400,25370,37305,52000,77580,36382,7879,20093,31575,44256,78109,126310,0.04337,0.11045,0.17356,0.24327,0.42935,0.17358
Mississippi,FORREST,28035,25092,0.504465128,6440,13595,23000,39000,70000,26052,3465,9806,18069,29673,69248,125695,0.02668,0.07528,0.1387,0.22778,0.53157,0.24122
Mississippi,FRANKLIN,28037,3070,0.475568298,5300,10600,18805,33600,53165,20120,2911,7899,14320,25031,50439,76477,0.02894,0.07852,0.14234,0.24882,0.50138,0.19005
Mississippi,GEORGE,28039,5769,0.420392942,7535,14420,23550,37300,57000,22970,4251,10799,18415,29361,52026,73280,0.03759,0.09397,0.16024,0.25549,0.45271,0.15941
Mississippi,GREENE,28041,3320,0.435177632,6000,13665,22355,33140,53000,21364,3275,9491,17941,27162,48953,74748,0.03066,0.08884,0.16796,0.25427,0.45827,0.17493
Mississippi,GRENADA,28043,7605,0.44541974,7545,15600,25600,40000,65000,25620,3966,11434,20160,31954,60587,92931,0.03103,0.08925,0.15736,0.24943,0.47293,0.18135
Mississippi,HANCOCK,28045,11680,0.45881224,8075,15000,26350,41875,72000,27301,4218,11707,20459,33386,66733,105085,0.03193,0.08568,0.14972,0.24432,0.48836,0.19225
Mississippi,HARRISON,28047,59627,0.432466552,9600,17930,27360,41000,68690,27927,4926,13632,22254,33537,65288,105241,0.03534,0.09762,0.15936,0.24016,0.46752,0.18841
Mississippi,HINDS,28049,90588,0.48722167,9100,19000,30860,48000,84110,33852,4823,14027,24642,38592,87178,164834,0.02852,0.08287,0.14558,0.22799,0.51503,0.24345
Mississippi,HOLMES,28051,7092,0.573018086,4055,7190,13100,27340,57000,18168,1652,5610,9848,19144,54585,105476,0.01866,0.06173,0.10836,0.21065,0.60061,0.29014
Mississippi,HUMPHREYS,28053,3926,0.562776874,4870,9300,16400,30800,63000,21846,2679,6992,12572,21919,65066,132507,0.02457,0.06401,0.11509,0.20066,0.59566,0.30326
Mississippi,ISSAQUENA,28055,639,0.477329876,5110,10000,16525,30000,51310,18992,3112,7457,12954,23376,48061,77111,0.03348,0.07847,0.13632,0.24598,0.50575,0.20286
Mississippi,ITAWAMBA,28057,7492,0.436260381,7810,15765,24835,36560,54500,25150,4701,11769,20497,29917,58867,105895,0.0379,0.09354,0.16291,0.23778,0.46787,0.21041
Mississippi,JACKSON,28059,40433,0.426772245,10560,21000,32000,46245,72820,31739,5438,15648,26354,38725,72528,121002,0.03434,0.0986,0.16606,0.244,0.457,0.19061
Mississippi,JASPER,28061,5949,0.463186357,5845,11800,21000,33200,55675,21437,3444,8491,16130,26803,52317,81878,0.03213,0.07922,0.15048,0.25006,0.4881,0.19097
Mississippi,JEFFERSON,28063,2811,0.51464831,4510,7680,14000,26200,51445,16451,1811,5857,10555,18998,45032,67996,0.0232,0.07112,0.12817,0.23069,0.54682,0.20642
Mississippi,JEFFERSON DAVIS,28065,4819,0.459120405,6000,11550,20000,34200,57000,21244,3670,8629,15582,25975,52367,76018,0.03455,0.08123,0.14669,0.24453,0.493,0.17891
Mississippi,JONES,28067,22384,0.472920046,7845,15000,23985,38500,65000,26261,4251,11243,19137,30412,66263,118180,0.03237,0.08562,0.14575,0.23161,0.50465,0.22501
Mississippi,KEMPER,28069,3646,0.523050427,5730,11000,18100,31000,55120,22246,3308,8160,14376,24206,61182,126228,0.02974,0.07336,0.12924,0.21762,0.55004,0.2837
Mississippi,LAFAYETTE,28071,11086,0.487244164,6600,13770,22820,39000,70000,25331,3525,10011,17935,29962,65224,109042,0.02783,0.07904,0.14161,0.23656,0.51497,0.21523
Mississippi,LAMAR,28073,10839,0.45209716,8700,17855,29240,45445,75800,29761,4648,12906,23223,36546,71480,113157,0.03124,0.08673,0.15606,0.2456,0.48037,0.19011
Mississippi,LAUDERDALE,28075,28342,0.486357915,7125,15730,25700,41440,70510,27876,3767,11129,20446,32933,71103,128151,0.02712,0.07984,0.14668,0.23626,0.51009,0.22984
Mississippi,LAWRENCE,28077,4557,0.461306226,6095,13100,22175,33565,57500,22739,3556,9527,17346,27569,55697,89986,0.03128,0.08379,0.15256,0.24248,0.48988,0.19787
Mississippi,LEAKE,28079,6773,0.441457119,6060,11780,20005,31090,50600,19901,3246,8711,15837,25075,46637,69702,0.03283,0.08752,0.15912,0.25194,0.46859,0.17509
Mississippi,LEE,28081,24498,0.454868742,9600,19190,29900,43965,76000,31146,5202,14281,24371,35811,76064,136984,0.0334,0.09171,0.15649,0.22996,0.48844,0.21991
Mississippi,LEFLORE,28083,12657,0.562335288,5170,11120,20810,34000,64135,25923,3099,8012,15501,26940,76063,163818,0.024,0.06181,0.11958,0.20783,0.58678,0.31594
Mississippi,LINCOLN,28085,11115,0.467774002,6975,14000,22990,38325,64095,24804,4020,10110,18342,29794,61754,100320,0.03241,0.08152,0.14789,0.24024,0.49793,0.20222
Mississippi,LOWNDES,28087,21374,0.473027891,8075,18000,28925,45000,71405,30403,4350,12864,23147,35989,75665,136843,0.0287,0.08462,0.15226,0.23672,0.4977,0.22503
Mississippi,MADISON,28089,19018,0.45917084,10000,19800,32720,49920,84000,33623,4968,14878,25910,40615,81744,138240,0.02956,0.0885,0.15412,0.24159,0.48623,0.20557
Mississippi,MARION,28091,9177,0.461309727,6600,12000,20000,33000,57000,21737,3820,9281,15938,25798,53846,88092,0.03517,0.08539,0.14664,0.23736,0.49543,0.20263
Mississippi,MARSHALL,28093,10068,0.442543267,6245,14000,23500,36225,57140,22808,3340,10014,18402,28956,53328,77499,0.02973,0.08777,0.16129,0.25379,0.46742,0.16982
Mississippi,MONROE,28095,13326,0.427050863,7440,15500,25090,38200,58885,24572,4281,11219,19978,31662,55720,83572,0.03515,0.09129,0.16256,0.25763,0.45338,0.17
Mississippi,MONTGOMERY,28097,4539,0.446765866,6300,11355,20500,32500,57540,20791,3719,8947,15426,26352,49509,74941,0.03578,0.08607,0.1484,0.2535,0.47626,0.18023
Mississippi,NESHOBA,28099,8846,0.447486437,6865,14000,22750,34910,58000,22952,3716,10243,18167,27878,54753,90554,0.03289,0.08921,0.15823,0.2428,0.47687,0.19717
Mississippi,NEWTON,28101,7385,0.447978785,7200,15000,23905,36480,62000,24433,4312,10808,19115,29187,58746,96920,0.0353,0.08847,0.15646,0.23891,0.48086,0.19833
Mississippi,NOXUBEE,28103,4080,0.494705685,5000,11000,18050,28210,54855,20231,2915,8077,14280,22865,53016,96676,0.02882,0.07985,0.14117,0.22604,0.52412,0.23893
Mississippi,OKTIBBEHA,28105,12979,0.490995151,6000,13000,25000,43000,74425,26107,3099,9126,18551,33529,66227,100033,0.02401,0.06989,0.14208,0.25679,0.50723,0.19153
Mississippi,PANOLA,28107,10146,0.448345633,6120,13185,22120,34000,55335,22149,3493,9552,17574,27488,52639,82123,0.03156,0.08625,0.15868,0.24821,0.4753,0.18538
Mississippi,PEARL RIVER,28109,13778,0.45235601,8000,15205,25225,40580,66150,26340,4402,11456,19994,32578,63271,102488,0.03343,0.08699,0.15181,0.24736,0.48041,0.19455
Mississippi,PERRY,28111,3819,0.462595292,5950,11625,20150,33055,54000,21077,3338,8572,15952,26016,51509,82302,0.03167,0.08133,0.15136,0.24687,0.48877,0.19524
Mississippi,PIKE,28113,13339,0.492361281,5760,11340,20170,34500,60800,22325,3259,8280,15300,26640,58144,95855,0.02962,0.07415,0.13701,0.23855,0.52067,0.21459
Mississippi,PONTOTOC,28115,8311,0.411427645,8435,15450,24930,37800,56505,24319,4883,11818,20042,30626,54227,81419,0.04079,0.09713,0.16472,0.2517,0.44567,0.16728
Mississippi,PRENTISS,28117,8668,0.472595522,6700,13685,21900,33645,56000,23823,4134,10070,17573,27194,60144,113323,0.03476,0.08453,0.14752,0.22829,0.5049,0.23783
Mississippi,QUITMAN,28119,3478,0.486944327,4870,9930,17555,30200,56000,19228,2841,7162,13591,23119,49426,80900,0.02986,0.07448,0.14132,0.2404,0.51395,0.21031
Mississippi,RANKIN,28121,29965,0.394349005,13995,26000,38000,53450,82030,36706,7562,19754,31696,45219,79300,124758,0.04147,0.1076,0.17265,0.24632,0.43196,0.16989
Mississippi,SCOTT,28123,8515,0.475124147,6070,13000,22000,35000,60300,23152,3207,9361,17197,28223,57773,96031,0.0277,0.08086,0.14855,0.24381,0.49907,0.20739
Mississippi,SHARKEY,28125,2112,0.484981885,5330,9800,17380,32000,55000,19993,3189,7550,13313,24586,51328,81191,0.03197,0.07552,0.13317,0.24593,0.51342,0.20303
Mississippi,SIMPSON,28127,8351,0.434260427,7595,14570,23000,35820,60200,23549,4192,10989,18835,28711,55020,86303,0.0356,0.09333,0.15996,0.24384,0.46727,0.18324
Mississippi,SMITH,28129,5329,0.452908025,6950,14630,23790,36000,61950,24426,4224,10510,19041,29297,59057,98803,0.03472,0.08604,0.15589,0.23985,0.4835,0.20222
Mississippi,STONE,28131,3771,0.448653899,7000,15000,24355,38155,67000,24678,3838,10978,19139,30708,58728,92273,0.03111,0.08897,0.15511,0.24887,0.47595,0.18695
Mississippi,SUNFLOWER,28133,9597,0.507731909,5275,10300,19300,34600,61890,22129,3163,7834,14533,25749,59366,102118,0.02898,0.07078,0.13129,0.23262,0.53633,0.23064
Mississippi,TALLAHATCHIE,28135,5030,0.478368359,4955,9800,17200,28400,48350,18550,2900,7154,13352,22499,46845,79715,0.03223,0.07705,0.14381,0.24234,0.50457,0.21465
Mississippi,TATE,28137,7058,0.425337081,8725,17700,28200,42930,72265,27535,4728,12932,22524,34845,62647,92508,0.03459,0.09391,0.16356,0.25303,0.45492,0.16794
Mississippi,TIPPAH,28139,7202,0.453278942,7000,14000,23000,34365,57000,23491,3943,10630,18136,27859,56888,99771,0.03375,0.09049,0.15438,0.23714,0.48424,0.21232
Mississippi,TISHOMINGO,28141,7128,0.429482558,7000,13000,21500,32440,52820,21625,4143,10058,17330,26541,50052,80367,0.03845,0.09301,0.16026,0.24543,0.46285,0.18579
Mississippi,TUNICA,28143,2486,0.586211536,5000,8275,14400,28655,65960,21250,2385,6633,11006,20233,65995,141689,0.02245,0.06242,0.10358,0.19042,0.62112,0.33338
Mississippi,UNION,28145,8357,0.42814726,7970,16680,26000,37040,58810,25579,4572,12344,21117,31034,58825,99118,0.03607,0.09649,0.16506,0.24258,0.45981,0.19369
Mississippi,WALTHALL,28147,4947,0.479064177,6145,11065,18150,33000,59000,20932,3493,8441,14187,24529,54010,85580,0.03408,0.08059,0.13545,0.2342,0.51568,0.20428
